season,n,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
2025,272,0.22384539241547946,0.6376668939800885,0.6397058823529411,0.8125,32,0.7261904761904762,84
2026,17,0.2227308589881661,0.6372811961413378,0.6470588235294118,,0,0.75,4
