qb_weight,qb_k,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
0.0,16,0.21673773796876802,0.623019325448699,0.6529341317365269,0.8253275109170306,458,0.7293277810826889,1681
0.0,20,0.21673773796876802,0.623019325448699,0.6529341317365269,0.8253275109170306,458,0.7293277810826889,1681
0.0,24,0.21673773796876802,0.623019325448699,0.6529341317365269,0.8253275109170306,458,0.7293277810826889,1681
0.0,32,0.21673773796876802,0.623019325448699,0.6529341317365269,0.8253275109170306,458,0.7293277810826889,1681
0.1,16,0.2164022654481209,0.622145397489893,0.6546107784431138,0.8174904942965779,526,0.7268518518518519,1728
0.1,20,0.2163944973511927,0.6221169295528253,0.6550898203592814,0.8180112570356473,533,0.726643598615917,1734
0.1,24,0.21639214355592437,0.6221028829321048,0.6555688622754491,0.8197026022304833,538,0.7277936962750716,1745
0.1,32,0.2163944342706076,0.6220942268279812,0.6562874251497006,0.8144144144144144,555,0.725925925925926,1755
0.15,16,0.21634485554553662,0.6219735844431997,0.6550898203592814,0.8120567375886525,564,0.7272727272727273,1738
0.15,20,0.21635316150817008,0.6219823320196693,0.6560479041916167,0.8090277777777778,576,0.7271682940838599,1741
0.15,24,0.21636770415608853,0.622008608426475,0.6555688622754491,0.8044217687074829,588,0.7262857142857143,1750
0.15,32,0.21640376712843887,0.6220824533796622,0.6565269461077844,0.8058727569331158,613,0.726237905520774,1757
0.2,16,0.2163559663345162,0.6219738833417379,0.6560479041916167,0.8039538714991763,607,0.7272206303724928,1745
0.2,20,0.21639217402218563,0.6220527481347484,0.6553293413173653,0.8063492063492064,630,0.7268041237113402,1746
0.2,24,0.21643419116503979,0.622149503115321,0.6550898203592814,0.8040435458786936,643,0.7264957264957265,1755
0.2,32,0.21652282788925714,0.6223608646821168,0.6548502994011977,0.8011869436201781,674,0.7268070574843484,1757
0.25,16,0.21643181956142818,0.6221427313488334,0.6567664670658683,0.8027522935779816,654,0.7266475644699141,1745
0.25,20,0.21650667030582532,0.6223235511398713,0.6565269461077844,0.8053097345132744,678,0.7233314318311466,1753
0.25,24,0.21658566581885658,0.622519870068291,0.6560479041916167,0.8031609195402298,696,0.7260351673284174,1763
0.25,32,0.21674354072034113,0.6229215875723315,0.6567664670658683,0.7997275204359673,734,0.7260894170911149,1767
0.3,16,0.21656866793223364,0.6224765258209809,0.6562874251497006,0.8060781476121563,691,0.723526044647968,1747
0.3,20,0.21669184707385783,0.6227900691220803,0.6562874251497006,0.7986111111111112,720,0.7211155378486056,1757
0.3,24,0.21681628722510102,0.6231139639869681,0.657005988023952,0.8010680907877169,749,0.7220338983050848,1770
0.3,32,0.21705801704601144,0.6237566995879685,0.6579640718562875,0.80306905370844,782,0.723943661971831,1775
0.4,16,0.21701066421136003,0.6236244242778248,0.6582035928143712,0.8018494055482166,757,0.7204791785510554,1753
0.4,20,0.2172555325621088,0.6242914475735309,0.6584431137724551,0.8045112781954887,798,0.717687074829932,1764
0.4,24,0.21749234250136332,0.6249502546040133,0.6584431137724551,0.8012121212121213,825,0.7183098591549296,1775
0.4,32,0.21793799052570145,0.626218376231705,0.6589221556886228,0.7986425339366516,884,0.7189249720044792,1786
0.5,16,0.21765346973599065,0.6253884495066451,0.6591616766467066,0.7971188475390156,833,0.7169703872437357,1756
0.5,20,0.21804717905394078,0.6265192817520245,0.6596407185628742,0.7949886104783599,878,0.7142857142857143,1778
0.5,24,0.21841901053159835,0.627612325604798,0.6603592814371257,0.7910772578890098,919,0.7165266106442577,1785
0.5,32,0.21910536281224763,0.6296828663006928,0.6596407185628742,0.7855670103092783,970,0.7154017857142857,1792
