ne,md,lr,n,brier,logloss,acc
50,3,0.05,2127,0.21439879279035123,0.617238269637809,0.6577338975082275
100,3,0.05,2127,0.21546599361076468,0.6205076137094786,0.6567936060178655
50,3,0.1,2127,0.21582075597652942,0.6214062267046685,0.6535025858015985
200,3,0.05,2127,0.21780021118450227,0.6274517605242834,0.6539727315467795
50,3,0.2,2127,0.21818185537489906,0.6284063746404932,0.6506817113305124
50,5,0.05,2127,0.21847055116279376,0.6266671349720637,0.6558533145275035
100,3,0.1,2127,0.21869539792417214,0.6293441517754702,0.6469205453690644
50,7,0.05,2127,0.21968671806310552,0.6293446206042118,0.6473906911142454
100,5,0.05,2127,0.2201106464760681,0.6326639400588021,0.6525622943112365
50,5,0.1,2127,0.22107573443253845,0.6355810826909083,0.6502115655853314
200,3,0.1,2127,0.22251726182238907,0.6416537896140638,0.6440996708979784
100,7,0.05,2127,0.2226718031966685,0.6389866813586575,0.6431593794076164
100,3,0.2,2127,0.2230853892085709,0.6428149778781117,0.6422190879172543
50,7,0.1,2127,0.22331632400850462,0.6411624522465372,0.6455101081335214
200,5,0.05,2127,0.22402530081285557,0.6452421257576243,0.6408086506817113
100,5,0.1,2127,0.22461795651277047,0.6470429950667137,0.6473906911142454
50,5,0.2,2127,0.22719365451634113,0.6532561037564965,0.6332863187588152
100,7,0.1,2127,0.2280653966133784,0.6568386441064624,0.6365773389750823
200,7,0.05,2127,0.22836218579313902,0.6571900489147879,0.6356370474847203
200,3,0.2,2127,0.22898387852950358,0.6639756271719683,0.6337564645039963
200,5,0.1,2127,0.23113996491439753,0.6701821394148434,0.6309355900329102
100,5,0.2,2127,0.23341759206020002,0.6770117116474834,0.6252938410907382
50,7,0.2,2127,0.233457202696549,0.6726006145312631,0.6257639868359192
200,7,0.1,2127,0.23771418844684525,0.69221639676534,0.6299952985425482
100,7,0.2,2127,0.24279357370504115,0.7098443998145919,0.6173013634226611
200,5,0.2,2127,0.24457019522155354,0.7234292153790387,0.612599905970851
200,7,0.2,2127,0.2580391913444115,0.7847548346779915,0.613540197461213
