penalty,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n,n_teams_tracked
0,0.21673773796876802,0.623019325448699,0.6529341317365269,0.8253275109170306,458,0.7293277810826889,1681,35
10,0.21647668425418978,0.6224600297121464,0.6541317365269461,0.8225108225108225,462,0.7229769639692853,1693,35
20,0.21615660607182713,0.6217243378673407,0.6548502994011977,0.8224101479915433,473,0.729585798816568,1690,35
30,0.21597696352494833,0.6213060072913251,0.6548502994011977,0.8278688524590164,488,0.7307462686567164,1675,35
40,0.21585310281413259,0.6210390861781963,0.6543712574850299,0.8160469667318982,511,0.7290436835891382,1694,35
50,0.2157857089498175,0.6208957134509956,0.6548502994011977,0.8150943396226416,530,0.7312206572769953,1704,35
60,0.21596864990993964,0.6213320913923298,0.655808383233533,0.8148820326678766,551,0.7289719626168224,1712,35
80,0.2160787308221789,0.6216099122640742,0.6586826347305389,0.8078231292517006,588,0.7262731481481481,1728,35
100,0.2163380968958598,0.6223060501975949,0.6586826347305389,0.8066561014263075,631,0.7260668973471741,1734,35
