spread_to_elo,spread_threshold,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
0,0,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,60,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,80,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,100,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,120,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,150,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,200,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
0,300,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132
8,0,0.2167110420401936,0.6225535041390695,0.6515500896746093,0.7901840490797546,815,0.7325428194993412,1518
8,60,0.21865983712758427,0.6272806192534066,0.6515500896746093,0.825,400,0.75,1148
8,80,0.21822894465939285,0.6263702659780049,0.6515500896746093,0.8254364089775561,401,0.7465362673186634,1227
8,100,0.21744177991044508,0.6246099508317989,0.6515500896746093,0.8258706467661692,402,0.7364016736401674,1434
8,120,0.21708795495371702,0.6238010770553544,0.6515500896746093,0.8188405797101449,414,0.7322368421052632,1520
8,150,0.21688783044080095,0.6233167694947775,0.6515500896746093,0.8092485549132948,519,0.7325428194993412,1518
8,200,0.21692779202288873,0.6234158631935839,0.6515500896746093,0.7894736842105263,817,0.7325428194993412,1518
8,300,0.21678514401909119,0.6229007707762597,0.6515500896746093,0.7901840490797546,815,0.7325428194993412,1518
12,0,0.21649544886582625,0.6229027553544152,0.6530873686907507,0.7837837837837838,999,0.7277676950998185,1653
12,60,0.2179164956841484,0.6257119924672665,0.6528311555213938,0.8254364089775561,401,0.7495798319327731,1190
12,80,0.2174630387755037,0.6247595883080799,0.652574942352037,0.8226600985221675,406,0.7393894266567387,1343
12,100,0.21651516965497386,0.6225922047740348,0.6528311555213938,0.8258823529411765,425,0.7304513668150032,1573
12,120,0.2161850741829341,0.6218486500994596,0.6530873686907507,0.8163265306122449,490,0.726779252110977,1658
12,150,0.21617072909344037,0.6218750464360296,0.6530873686907507,0.7953890489913544,694,0.7277676950998185,1653
12,200,0.21655620005968934,0.6230634348197194,0.6530873686907507,0.7832167832167832,1001,0.7277676950998185,1653
12,300,0.21657891641651117,0.6232595282741624,0.6530873686907507,0.7837837837837838,999,0.7277676950998185,1653
16,0,0.21721637405244285,0.6262469775468593,0.6579554189085319,0.7766990291262136,1133,0.7185901080159182,1759
16,60,0.21747524303665283,0.6247408867232849,0.6571867794004612,0.8242574257425742,404,0.7445608380338437,1241
16,80,0.21710669593991433,0.6240045857490621,0.6571867794004612,0.817966903073286,423,0.7270847691247415,1451
16,100,0.21612478277134153,0.6217197614286558,0.6574429925698181,0.8159509202453987,489,0.7197149643705463,1684
16,120,0.21591798790424274,0.6213228534133831,0.6579554189085319,0.8030050083472454,599,0.7167891464104014,1769
16,150,0.2162114068431938,0.6222940760345094,0.6579554189085319,0.783816425120773,828,0.7183418512208972,1761
16,200,0.21705511870761304,0.6251444213237629,0.6579554189085319,0.7755281690140845,1136,0.71875,1760
16,300,0.2173041284993819,0.6265413947032413,0.6579554189085319,0.7766990291262136,1133,0.7185901080159182,1759
20,0,0.21864662824480713,0.6322611408139522,0.6620548296182424,0.7639553429027113,1254,0.7162891046386192,1854
